x1,x2,quadrant
0.7236,-0.3961,bottom-right
-0.5593,0.3132,top-left
-0.9563,0.3994,top-left
0.7759,0.4671,top-right
0.1737,0.9827,top-right
-0.1189,0.1704,top-left
-0.3884,0.742,top-left
0.5533,-0.3682,bottom-right
-0.2743,0.8925,top-left
0.4579,0.9123,top-right
0.9887,-0.548,bottom-right
-0.7225,0.7981,top-left
-0.3279,0.0743,top-left
0.8089,0.9924,top-right
-0.6881,0.3252,top-left
-0.8625,-0.3881,bottom-left
-0.4524,-0.0766,bottom-left
0.8529,0.7036,top-right
-0.7799,0.054,top-left
0.5219,-0.803,bottom-right
-0.3235,-0.6691,bottom-left
0.8587,0.12,top-right
0.7348,-0.1806,bottom-right
-0.3631,0.4653,top-left
-0.1916,0.9043,top-left
0.7413,-0.9704,bottom-right
0.23,0.3639,top-right
-0.8655,-0.0705,bottom-left
-0.6342,-0.5425,bottom-left
0.9554,0.8966,top-right
-0.1162,0.879,top-left
0.12,0.1938,top-right
-0.1649,0.5116,top-left
0.3926,-0.4443,bottom-right
-0.4101,0.6921,top-left
0.7735,-0.254,bottom-right
0.7054,0.8053,top-right
-0.8823,0.2983,top-left
0.6192,0.5472,top-right
-0.9511,-0.7513,bottom-left
-0.9478,-0.3581,bottom-left
-0.0885,0.1486,top-left
0.5117,0.8958,top-right
-0.5209,-0.535,bottom-left
0.2298,0.2336,top-right
-0.6213,-0.7475,bottom-left
0.9981,0.3151,top-right
0.306,0.7506,top-right
-0.3526,0.4312,top-left
-0.6858,-0.8683,bottom-left
-0.0579,-0.449,bottom-left
0.1578,0.3855,top-right
-0.1626,0.3539,top-left
-0.5114,-0.9966,bottom-left
-0.908,-0.1172,bottom-left
-0.5126,-0.4465,bottom-left
-0.1309,0.9676,top-left
0.96,-0.0207,bottom-right
0.3957,0.146,top-right
-0.3898,-0.6389,bottom-left
0.9411,-0.5665,bottom-right
-0.3809,0.4885,top-left
-0.7076,0.2952,top-left
0.3919,0.9378,top-right
-0.6238,0.9648,top-left
-0.5786,-0.4816,bottom-left
0.5603,-0.3062,bottom-right
0.2548,0.4956,top-right
-0.4081,-0.0153,bottom-left
-0.4626,-0.4737,bottom-left
0.1727,-0.9806,bottom-right
0.1935,0.5373,top-right
-0.65,-0.5951,bottom-left
0.4118,0.9011,top-right
0.0161,-0.3676,bottom-right
